,ROOM,FLOR,AREA,TYPE,EVAL,PRIC,OLD,SUBC,SUBD,CEDT,DISC
0,3,2,132.46,2,1,101918,2004,2,465,6.996490316442537,2
1,3,1,140.36,2,1,43389,2004,2,733,13.559781687909595,2
2,3,1,120.52,1,1,60986,2007,1,657,17.689470869371576,2
3,3,1,150.74,0,1,45775,2000,3,523,6.7260850881363385,2
4,3,2,141.32,2,1,69347,2004,3,526,10.554571958051794,2
5,1,1,67,2,1,59403,2002,1,742,16.1733089857346,2
6,2,0,92.64,1,1,48144,2005,1,796,14.072713683086372,2
7,2,1,66.03,2,0,53764,1998,1,651,15.68373479094725,2
8,2,0,57.31,2,0,68051,1992,1,510,9.555010430303707,2
9,2,1,62.66,0,1,82828,1988,1,933,7.976547017936953,2
10,4,0,219.87,2,1,167372,2011,1,651,8.961251208630406,2
11,3,1,130.5,1,1,114943,2005,2,737,5.281965514956449,2
12,3,1,122.78,1,0,47239,2003,2,779,10.54768807451225,2
13,2,2,86.14,0,1,65707,1999,2,468,9.512146745106012,2
14,4,1,226.15,2,1,170684,2011,1,320,8.640079491441318,2
15,4,2,249.75,0,1,52053,2007,1,519,10.379327863341626,2
16,2,1,160.66,0,1,72825,2002,4,424,6.612052639136404,2
17,3,1,132.93,2,0,82676,1999,2,518,10.748829895800291,2
18,2,2,104.48,0,1,74177,2002,1,938,11.932481800285574,2
19,2,1,59.95,2,0,55046,1988,3,339,10.369471764793653,2
20,3,1,140.56,2,1,91065,2006,1,304,5.956874524516093,2
21,2,1,44.74,1,0,48726,1987,1,999,15.146562487998109,2
22,1,2,55.05,2,1,85196,2005,2,851,9.58829324499805,2
23,2,0,98.44,2,1,71618,2004,1,468,17.200333157241023,2
24,1,1,42.84,0,1,62092,1987,1,789,7.051701843462477,2
25,2,1,78.77,1,1,53066,2005,1,972,16.22935462821068,2
26,3,1,83.56,0,1,48947,2000,1,578,17.030190675498712,2
27,2,1,65.8,2,0,56991,1993,2,674,9.342643905661678,2
28,1,2,38.7,0,1,74161,2007,2,854,16.361518026046564,2
29,2,1,50.33,2,0,63581,1978,2,381,7.443984675110671,2
30,2,2,76.06,0,1,47200,2010,1,669,15.735598102813915,2
31,2,0,100.98,0,1,66845,2002,2,328,6.4043073018062735,2
32,2,0,53.71,2,0,80060,1994,1,849,10.34330358501324,2
33,3,2,91.41,2,1,93207,1998,3,612,6.7640051465382305,2
34,1,1,61.12,1,1,76735,2004,2,280,7.74677299240798,2
35,3,0,56.72,2,0,76693,1982,1,756,6.717969411142882,2
36,2,1,71.96,2,0,46554,1996,1,830,15.993003061106126,2
37,1,1,65.79,0,1,68400,2004,2,862,14.701858115996556,2
38,2,0,58.23,2,0,66118,1994,1,191,9.059839240930668,2
39,2,2,57.54,2,1,72993,1982,3,702,7.393671701697428,2
40,3,2,114.43,0,1,74107,2004,1,870,13.47991457391261,2
41,2,2,71.62,0,1,48730,2011,1,839,10.95162892291828,2
42,2,0,54.94,1,1,42774,1983,2,614,10.65051999291508,2
43,2,0,76.56,1,1,55513,2010,2,619,17.941512461648916,2
44,3,1,138.6,1,1,56278,2001,3,223,6.48963398602356,2
45,2,2,53.18,2,0,56225,1994,2,356,6.167340859946411,2
46,3,2,79.73,1,1,67729,1994,2,554,7.533331647037248,2
47,2,2,52.59,2,0,57236,1982,1,645,5.251901904811643,2
48,2,1,58.61,0,1,75073,1990,1,612,7.884185443283134,2
49,3,1,89.69,0,1,55748,2010,2,619,17.941512461648916,2
50,2,1,58.1,0,1,96214,1985,4,527,7.041072098523466,2
51,1,1,55.94,0,1,71148,2005,1,394,6.023414759074551,2
52,2,2,88.08,0,1,47571,2010,1,740,17.910601269040825,2
53,4,2,173.62,1,1,54718,2013,1,977,17.857761924555184,2
54,3,1,170.14,2,1,132245,2009,1,817,12.107866051189792,2
55,3,0,167.81,2,1,77171,2006,2,288,10.224375916234582,2
56,2,0,160.01,0,1,71246,2003,1,434,4.390027033943139,2
57,3,0,188.99,2,1,85190,2007,3,741,9.63396725140373,2
58,3,2,149.23,0,1,54279,2005,2,507,10.824084921743912,2
59,3,1,88.04,0,1,61336,1992,1,780,7.312206878588953,2
60,3,1,126.11,0,1,70574,1997,1,703,12.315460184737733,2
61,3,1,169.93,0,1,71089,2001,4,192,6.690588727319167,2
62,3,1,145.08,2,1,96361,2013,1,468,16.45811776965242,2
63,3,0,129.13,1,1,112290,2005,3,489,7.425225122565766,2
64,2,0,83.48,1,1,65286,2001,2,784,9.3067437509354,2
65,3,1,144.8,1,1,160912,2003,1,318,3.3502785806864814,2
66,3,2,149.61,2,1,96919,2005,2,206,5.177636114158356,2
67,1,0,49.61,1,1,110865,2004,2,755,3.982945024700276,2
68,2,1,81.09,2,1,130103,1999,4,606,2.6438079504628345,2
69,3,2,125.05,0,1,111876,2008,1,281,3.8043878724122275,2
70,3,1,69.69,0,1,110203,2006,3,471,2.4551854140521203,2
71,2,2,85.03,0,1,82912,2009,1,208,4.571571097115461,2
72,2,0,70,2,0,114286,1998,2,568,4.230286818326689,2
73,2,2,91.44,1,1,92958,2009,3,558,5.16829113054429,2
74,1,1,60.75,2,1,116873,2004,3,630,2.817838974105503,2
75,3,1,146.12,1,1,109500,2004,2,899,5.342930227429744,2
76,2,1,73.18,2,0,115469,2003,3,474,2.07101530087905,2
77,3,2,105.71,0,1,121086,2002,1,161,3.375767683525626,2
78,3,1,91.17,2,1,109576,2004,2,374,2.6067357291019584,2
79,2,0,92.02,2,1,146708,2004,1,318,3.3502785806864814,2
80,3,1,79.67,1,1,116606,2009,1,186,4.686426573433995,2
81,3,2,104.9,0,1,112489,2007,3,471,2.4551854140521203,2
82,3,1,146.77,1,1,101861,2002,2,619,4.096723596327773,2
83,2,1,76.19,2,0,119045,1992,1,617,3.5155466167899356,2
84,1,2,64.05,0,1,96800,2004,1,639,4.236044397513366,2
85,1,1,67.94,2,1,96409,2004,1,905,5.215087631236927,2
86,2,0,54.32,2,0,112298,1979,3,434,1.589162992148523,2
87,1,2,49.45,2,1,125177,2009,1,186,4.686426573433995,2
88,2,0,58.25,2,0,90988,1991,2,686,4.2036283701092545,2
89,2,2,88.33,2,1,105967,2004,3,630,2.817838974105503,2
90,2,2,52.03,2,0,125313,1981,2,863,2.7422686911193646,2
91,1,0,51.12,1,1,115024,2009,1,186,4.686426573433995,2
92,1,2,60.84,0,1,108482,2006,4,696,2.690184324863224,2
93,2,0,76.42,2,1,103115,2003,1,606,2.989730548793862,2
94,1,1,45.43,2,1,96633,2005,2,206,5.177636114158356,2
95,2,0,75.24,0,1,132377,2002,1,664,4.134592529769408,2
96,2,1,68.38,2,0,111144,2003,3,474,2.07101530087905,2
97,3,1,69.54,0,1,109290,2006,3,471,2.4551854140521203,2
98,1,1,47.86,1,1,112830,2005,1,300,3.7370676329790466,2
99,1,1,75.51,2,1,124222,1999,1,722,3.062859635274981,2
100,2,1,74.36,0,1,84455,2000,2,519,4.449777215441797,2
101,3,1,143.55,2,1,120377,2004,2,899,5.342930227429744,2
102,4,2,266.01,1,1,103004,2005,2,866,4.437893639781176,2
103,1,1,55.47,2,0,117722,2005,1,538,2.9976174155722757,2
104,2,2,63.75,1,1,107451,2005,1,300,3.7370676329790466,2
105,2,0,80.49,2,1,109331,2004,3,630,2.817838974105503,2
106,2,1,75.48,1,1,73795,2007,3,266,4.808076420731245,2
107,2,1,118.64,2,1,119690,2005,1,426,3.6121370810991547,2
108,2,2,71.7,2,0,102511,1998,2,568,4.230286818326689,2
109,2,1,77.58,2,1,109565,2004,2,374,2.6067357291019584,2
110,2,2,68.7,2,0,113538,2003,2,483,3.0416943693450538,2
111,1,2,52.25,2,0,105072,2003,3,474,2.07101530087905,2
112,2,1,55.12,2,0,137519,1996,2,450,5.544109278166503,2
113,2,0,61.11,2,1,106366,1994,1,807,5.930271432003424,2
114,2,2,57.67,2,0,106642,1990,2,690,2.770359888737264,2
115,2,1,56.34,2,0,92297,1980,2,797,3.730268921567941,2
116,2,0,70.03,0,1,105098,2008,1,460,3.871683427780007,2
117,2,0,58.79,1,1,111924,1988,2,834,5.93994007565727,2
118,2,1,65.47,2,1,102337,1987,1,181,3.7176252590057492,2
119,2,0,46.79,2,1,112204,1980,1,181,3.7176252590057492,2
120,1,1,45.85,2,0,128245,1997,3,550,2.163296508587029,2
